TrialNum,Operation,CPU Time (ms)
1,math,70789
2,math,70812
3,math,70765
4,math,70757
5,math,70773
6,math,70781
7,math,70781
8,math,70789
9,math,70765
10,math,70789
11,math,70765
12,math,70781
13,math,70789
14,math,70773
15,math,70804
16,math,70765
17,math,70781
18,math,70765
19,math,70789
20,math,70757
21,math,70773
22,math,70796
23,math,70796
24,math,70773
25,math,70789
26,math,70789
27,math,70773
28,math,70781
29,math,70789
30,math,70765
31,math,70765
32,math,70765
33,math,70796
34,math,70757
35,math,70750
36,math,70773
37,math,70796
38,math,70789
39,math,70750
40,math,70820
41,math,70781
42,math,70789
43,math,70773
44,math,70765
45,math,70757
46,math,70781
47,math,70781
48,math,70750
49,math,70773
50,math,70773
51,math,70773
52,math,70773
53,math,70804
54,math,70781
55,math,70773
56,math,70804
57,math,70773
58,math,70789
59,math,70789
60,math,70773
1,int,992
2,int,992
3,int,1000
4,int,992
5,int,992
6,int,992
7,int,1000
8,int,992
9,int,992
10,int,992
11,int,992
12,int,992
13,int,992
14,int,992
15,int,992
16,int,984
17,int,992
18,int,992
19,int,1000
20,int,984
21,int,992
22,int,992
23,int,992
24,int,992
25,int,992
26,int,992
27,int,992
28,int,992
29,int,992
30,int,1000
31,int,992
32,int,984
33,int,1000
34,int,992
35,int,992
36,int,984
37,int,1000
38,int,992
39,int,992
40,int,992
41,int,992
42,int,1000
43,int,992
44,int,992
45,int,992
46,int,992
47,int,992
48,int,1000
49,int,984
50,int,992
51,int,992
52,int,992
53,int,992
54,int,992
55,int,992
56,int,992
57,int,984
58,int,992
59,int,992
60,int,992
1,float,804
2,float,804
3,float,804
4,float,804
5,float,804
6,float,804
7,float,804
8,float,804
9,float,804
10,float,804
11,float,804
12,float,804
13,float,804
14,float,804
15,float,804
16,float,804
17,float,812
18,float,804
19,float,804
20,float,804
21,float,804
22,float,804
23,float,804
24,float,804
25,float,804
26,float,804
27,float,804
28,float,804
29,float,804
30,float,804
31,float,804
32,float,804
33,float,804
34,float,804
35,float,804
36,float,804
37,float,804
38,float,804
39,float,812
40,float,804
41,float,804
42,float,804
43,float,804
44,float,804
45,float,804
46,float,804
47,float,804
48,float,804
49,float,804
50,float,804
51,float,804
52,float,804
53,float,804
54,float,804
55,float,804
56,float,804
57,float,804
58,float,804
59,float,804
60,float,804
1,array,1664
2,array,1687
3,array,1437
4,array,1687
5,array,1429
6,array,1437
7,array,1437
8,array,1437
9,array,1437
10,array,1437
11,array,1429
12,array,1437
13,array,1437
14,array,1437
15,array,1437
16,array,1437
17,array,1437
18,array,1437
19,array,1429
20,array,1437
21,array,1437
22,array,1437
23,array,1437
24,array,1437
25,array,1437
26,array,1437
27,array,1429
28,array,1437
29,array,1437
30,array,1437
31,array,1437
32,array,1437
33,array,1429
34,array,1437
35,array,1437
36,array,1437
37,array,1437
38,array,1437
39,array,1437
40,array,1437
41,array,1437
42,array,1437
43,array,1437
44,array,1437
45,array,1429
46,array,1437
47,array,1437
48,array,1437
49,array,1437
50,array,1437
51,array,1437
52,array,1437
53,array,1437
54,array,1437
55,array,1429
56,array,1437
57,array,1437
58,array,1437
59,array,1437
60,array,1437
